"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Jordan Spence","24-25","L.A","D",6,112.7,0,2,1,3,4,10,16,0.26,0,0,2.6,9,11,2,7,9,2,0,0,0,-2,0,0,0
"Josh Mahura","24-25","SEA","D",3,36.95,0,0,0,0,4,6,8,0.13,0,0,2.17,0,5,1,3,7,1,0,0,0,-1,0,0,0
"Josh Manson","24-25","COL","D",7,127.68,0,2,1,3,14,17,26,0.31,0,0,1.82,13,11,2,16,6,4,4,0,0,0,0,0,0
"Josh Morrissey","24-25","WPG","D",6,142.75,1,3,3,7,12,24,38,0.75,8.33,4.17,3.12,13,5,2,3,3,2,1,0,0,-1,0,0,0
"Justin Barron","24-25","MTL","D",7,117.8,1,0,0,1,8,11,14,0.55,12.5,9.09,5,8,3,2,12,13,3,0,0,0,-3,0,0,0
"Justin Faulk","24-25","STL","D",7,166.7,1,1,2,4,6,8,19,0.22,16.67,12.5,2.75,10,9,2,10,5,1,0,0,0,-1,0,0,0
"Justin Holl","24-25","DET","D",4,68.3,0,1,0,1,1,1,2,0.06,0,0,6,7,6,0,0,2,1,0,0,0,-1,0,0,0
"Juuso Valimaki","24-25","UTA","D",7,138.37,0,0,0,0,7,10,18,0.55,0,0,5.5,9,13,6,3,21,1,0,0,0,-1,0,0,0
"K'Andre Miller","24-25","NYR","D",6,137.43,1,0,1,2,12,19,25,0.68,8.33,5.26,3.58,11,5,3,11,5,2,0,0,0,-2,0,0,0
"Kaedan Korczak","24-25","VGK","D",1,17.37,0,0,1,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
"Kaiden Guhle","24-25","MTL","D",5,108.75,1,2,1,4,4,6,12,0.18,25,16.67,3,20,7,1,7,11,1,0,0,0,-1,0,0,0
"Kevin Bahl","24-25","CGY","D",6,122.7,0,1,1,2,7,13,19,0.35,0,0,2.69,6,7,1,10,8,1,0,0,0,-1,0,0,0
"Kris Letang","24-25","PIT","D",8,185.92,2,1,0,3,15,19,33,0.66,13.33,10.53,3.47,6,12,4,14,6,4,2,0,0,-2,0,0,0
"Kyle Burroughs","24-25","L.A","D",4,59.18,0,1,0,1,1,2,6,0.03,0,0,1.5,2,4,1,8,15,2,1,1,1,-1,0,0,0
"Lane Hutson","24-25","MTL","D",7,162.92,0,1,3,4,5,12,20,0.49,0,0,4.08,14,8,5,5,15,4,0,0,0,-4,0,0,0
"Logan Mailloux","24-25","MTL","D",2,38.53,1,0,0,1,5,5,9,0.14,20,20,2.8,3,3,0,2,5,1,0,0,0,-1,0,0,0
"Logan Stanley","24-25","WPG","D",2,33.33,0,0,1,1,2,3,5,0.05,0,0,1.67,6,1,0,0,1,0,0,0,0,0,0,0,0
"Luke Schenn","24-25","NSH","D",6,83.93,1,0,0,1,4,5,14,0.09,25,20,1.8,7,4,3,17,4,1,0,1,1,-1,0,0,0
"MacKenzie Weegar","24-25","CGY","D",6,136.68,3,0,1,4,14,20,34,0.71,21.43,15,3.55,15,10,1,15,4,0,0,0,0,0,0,0,0
"Marc Del Gaizo","24-25","NSH","D",2,31.88,0,0,0,0,6,7,8,0.28,0,0,4,1,2,3,2,3,1,0,0,0,-1,0,0,0
"Marcus Pettersson","24-25","PIT","D",8,171.52,1,1,2,4,10,18,30,0.32,10,5.56,1.78,11,13,4,7,20,5,1,0,0,-4,0,0,0
"Mario Ferraro","24-25","S.J","D",7,137.58,0,0,0,0,8,11,20,0.16,0,0,1.45,15,9,5,12,6,1,1,0,0,0,0,0,0
"Martin Fehervary","24-25","WSH","D",5,94.52,0,1,0,1,4,4,7,0.11,0,0,2.75,14,6,1,17,7,1,0,0,0,-1,0,0,0
"Mason Lohrei","24-25","BOS","D",6,100.75,1,2,1,4,9,12,17,0.37,11.11,8.33,3.08,5,10,2,1,13,0,0,0,0,0,0,0,0
"Matt Benning","24-25","S.J","D",5,68.08,0,0,0,0,5,7,10,0.26,0,0,3.71,6,4,1,8,7,2,1,0,0,-1,0,0,0
"Matt Dumba","24-25","DAL","D",3,41.67,0,0,0,0,0,1,4,0.02,0,0,2,3,3,0,6,0,2,1,0,0,-1,0,0,0
"Matt Grzelcyk","24-25","PIT","D",8,162.77,0,1,2,3,14,19,29,0.54,0,0,2.84,14,3,3,6,10,2,0,0,0,-2,0,0,0
"Matt Roy","24-25","WSH","D",1,8.65,0,0,0,0,2,4,5,0.19,0,0,4.75,0,1,0,1,0,0,0,0,0,0,0,0,0
"Matthew Kessel","24-25","STL","D",6,71.83,0,0,0,0,3,7,11,0.13,0,0,1.86,4,12,1,2,4,0,0,0,0,0,0,0,0
"Mattias Ekholm","24-25","EDM","D",7,159.82,0,2,1,3,21,29,46,0.61,0,0,2.1,11,7,6,5,5,0,0,0,0,0,0,0,0
"Mattias Samuelsson","24-25","BUF","D",8,133.63,1,0,0,1,8,12,17,0.2,12.5,8.33,1.67,10,6,1,18,13,1,1,0,0,0,0,0,0
"Michael Kesselring","24-25","UTA","D",7,138.45,2,1,1,4,10,15,23,0.48,20,13.33,3.2,8,11,0,10,13,1,0,1,1,-1,0,0,0
"Mike Matheson","24-25","MTL","D",7,155.77,0,4,1,5,8,12,25,0.33,0,0,2.75,18,9,8,2,13,3,1,1,1,-2,0,0,0
"Mike Reilly","24-25","NYI","D",6,90.72,0,0,0,0,8,14,19,0.45,0,0,3.21,1,7,0,2,6,1,0,0,0,-1,0,0,0
"Mikey Anderson","24-25","L.A","D",7,151.98,2,0,2,4,11,14,25,0.99,18.18,14.29,7.07,8,4,2,13,18,3,2,0,0,-1,0,0,0
"Mikhail Sergachev","24-25","UTA","D",7,184.68,0,3,1,4,12,24,35,0.74,0,0,3.08,16,17,2,2,11,1,1,0,0,0,0,0,0
"Miro Heiskanen","24-25","DAL","D",7,174.77,0,0,0,0,17,23,42,0.7,0,0,3.04,12,11,3,3,12,0,1,0,0,1,0,0,0
"Morgan Rielly","24-25","TOR","D",7,147.57,1,1,0,2,14,17,32,0.67,7.14,5.88,3.94,11,6,1,5,10,1,0,0,0,-1,0,0,0
"Moritz Seider","24-25","DET","D",6,145.7,1,1,1,3,12,16,22,0.52,8.33,6.25,3.25,20,3,5,28,11,4,2,0,0,-2,0,0,0
"Nate Schmidt","24-25","FLA","D",7,97.53,1,0,1,2,7,12,17,0.28,14.29,8.33,2.33,4,6,1,14,14,1,2,0,0,1,0,0,0
"Neal Pionk","24-25","WPG","D",6,125,1,5,1,7,12,17,23,0.62,8.33,5.88,3.65,10,9,2,8,14,0,0,0,0,0,0,0,0
"Nick Jensen","24-25","OTT","D",6,119.25,0,2,2,4,6,12,18,0.26,0,0,2.17,5,6,1,7,12,0,0,0,0,0,0,0,0
"Nick Leddy","24-25","STL","D",4,88.62,0,0,0,0,4,6,11,0.18,0,0,3,5,8,2,0,4,0,0,0,0,0,0,0,0
"Nick Perbix","24-25","T.B","D",4,55.55,0,1,1,2,3,6,9,0.19,0,0,3.17,4,4,2,1,12,1,0,0,0,-1,0,0,0
"Nick Seeler","24-25","PHI","D",1,15.5,0,0,0,0,2,2,3,0.04,0,0,2,1,2,0,2,1,1,0,0,0,-1,0,0,0
"Nicolas Hague","24-25","VGK","D",7,121.72,0,0,0,0,3,6,11,0.08,0,0,1.33,11,7,2,7,17,2,0,0,0,-2,0,0,0
"Nikita Zadorov","24-25","BOS","D",7,132,0,2,1,3,11,16,25,0.44,0,0,2.75,8,8,1,20,8,8,0,1,1,-8,0,0,0
"Niko Mikkola","24-25","FLA","D",8,166.92,0,1,1,2,11,15,32,0.9,0,0,6,13,10,0,11,24,3,0,0,0,-3,0,0,0
"Nils Lundkvist","24-25","DAL","D",7,100.67,0,0,0,0,7,10,18,0.14,0,0,1.4,4,4,1,7,7,3,1,0,0,-2,0,0,0
"Noah Dobson","24-25","NYI","D",6,142.43,0,2,2,4,19,32,36,0.94,0,0,2.94,15,3,4,3,14,0,0,0,0,0,0,0,0
"Noah Hanifin","24-25","VGK","D",7,144,0,1,1,2,10,12,18,0.16,0,0,1.33,13,7,0,5,9,2,0,0,0,-2,0,0,0
"Noah Juulsen","24-25","VAN","D",2,32.1,0,0,0,0,6,6,7,0.14,0,0,2.33,1,3,2,1,7,0,0,0,0,0,0,0,0
"Nolan Allan","24-25","CHI","D",4,52.52,0,0,0,0,4,5,6,0.12,0,0,2.4,1,0,0,2,12,0,0,0,0,0,0,0,0
"Olen Zellweger","24-25","ANA","D",5,89.68,0,1,0,1,11,11,17,0.24,0,0,2.18,3,6,2,2,6,1,1,0,0,0,0,0,0
"Oliver Ekman-Larsson","24-25","TOR","D",7,153.4,0,1,3,4,19,27,39,1.06,0,0,3.93,7,6,4,14,5,3,2,0,0,-1,0,0,0
"Oliver Kylington","24-25","COL","D",2,34.63,0,0,0,0,0,2,6,0.04,0,0,2,6,1,0,1,1,1,0,0,0,-1,0,0,0
"Olli Maatta","24-25","DET","D",5,80,0,0,0,0,1,2,4,0.16,0,0,8,6,6,0,3,6,0,0,0,0,0,0,0,0
"Owen Power","24-25","BUF","D",8,177.67,2,1,3,6,12,23,29,1.06,16.67,8.7,4.61,13,9,3,3,10,0,1,0,0,1,0,0,0
"Parker Wotherspoon","24-25","BOS","D",1,12.93,0,0,0,0,1,1,1,0.01,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"Pavel Mintyukov","24-25","ANA","D",5,108.03,2,0,0,2,3,10,16,1.33,66.67,20,13.3,6,8,1,3,7,0,1,0,0,1,0,0,0
"Philip Broberg","24-25","STL","D",7,138.48,1,2,3,6,7,11,21,0.12,14.29,9.09,1.09,5,7,5,6,15,2,1,0,0,-1,0,0,0
"Pierre-Olivier Joseph","24-25","STL","D",4,46.7,0,0,1,1,5,6,11,0.17,0,0,2.83,4,4,1,1,4,1,0,0,0,-1,0,0,0
"Quinn Hughes","24-25","VAN","D",6,150.15,1,3,2,6,22,29,57,0.76,4.55,3.45,2.62,8,6,1,0,12,0,0,0,0,0,0,0,0
"Radko Gudas","24-25","ANA","D",6,106.78,0,0,0,0,1,6,15,0.09,0,0,1.5,23,12,0,14,6,2,3,0,0,1,0,0,0
"Rasmus Andersson","24-25","CGY","D",6,142.8,3,0,5,8,9,14,27,0.59,33.33,21.43,4.21,23,10,4,4,6,1,0,0,0,-1,0,0,0
"Rasmus Dahlin","24-25","BUF","D",8,193.22,0,1,1,2,16,23,50,1.24,0,0,5.39,8,11,6,8,8,2,1,0,0,-1,0,0,0
"Rasmus Ristolainen","24-25","PHI","D",6,100.53,0,0,0,0,6,8,12,0.22,0,0,2.75,9,4,1,10,14,0,2,0,0,2,0,0,0
"Rasmus Sandin","24-25","WSH","D",5,90.95,0,0,0,0,3,6,12,0.15,0,0,2.5,8,3,2,7,6,1,1,0,0,0,0,0,0
"Robert Bortuzzo","24-25","UTA","D",3,35.88,0,0,0,0,0,2,3,0.26,0,0,13,5,3,0,4,5,3,1,0,0,-2,0,0,0
"Roman Josi","24-25","NSH","D",6,158.3,0,3,2,5,26,38,54,2.22,0,0,5.84,13,12,7,9,7,0,1,0,0,1,0,0,0
"Ryan Graves","24-25","PIT","D",8,120.78,0,0,0,0,9,10,19,0.21,0,0,2.1,8,14,9,13,10,1,2,0,0,1,0,0,0
"Ryan Lindgren","24-25","NYR","D",1,17.33,0,0,0,0,0,1,2,0.02,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ryan McDonagh","24-25","T.B","D",6,121.6,0,1,1,2,5,7,10,0.1,0,0,1.43,16,13,3,1,8,2,0,0,0,-2,0,0,0
"Ryan Pulock","24-25","NYI","D",6,123.57,0,1,0,1,8,10,16,0.33,0,0,3.3,13,5,2,4,9,0,0,0,0,0,0,0,0
"Ryan Shea","24-25","PIT","D",2,30.98,0,0,0,0,2,3,3,0.06,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0
"Ryan Suter","24-25","STL","D",7,135.22,1,0,0,1,11,16,26,0.42,9.09,6.25,2.62,12,7,1,3,3,1,0,0,0,-1,0,0,0
"Ryker Evans","24-25","SEA","D",7,125.28,2,2,1,5,11,16,24,0.69,18.18,12.5,4.31,9,2,1,8,10,2,1,0,0,-1,0,0,0
"Sam Malinski","24-25","COL","D",7,110.08,0,1,0,1,10,16,28,0.36,0,0,2.25,6,9,2,2,15,0,1,0,0,1,0,0,0
"Samuel Girard","24-25","COL","D",7,150.55,0,1,2,3,2,4,12,0.28,0,0,7,13,12,3,4,7,0,1,0,0,1,0,0,0
"Scott Mayfield","24-25","NYI","D",6,94.82,0,0,1,1,6,8,15,0.29,0,0,3.62,10,6,1,6,8,1,1,0,0,0,0,0,0
"Seamus Casey","24-25","N.J","D",8,95.7,3,1,0,4,6,8,19,0.34,50,37.5,4.25,7,8,0,4,8,0,1,0,0,1,0,0,0
"Sean Durzi","24-25","UTA","D",4,85.83,0,1,1,2,3,8,11,0.25,0,0,3.12,13,10,3,2,7,1,0,1,1,-1,0,0,0
"Sean Walker","24-25","CAR","D",5,82.98,0,0,0,0,7,12,19,0.28,0,0,2.33,4,5,0,4,13,4,0,0,0,-4,0,0,0
"Seth Jones","24-25","CHI","D",7,176.9,1,2,4,7,21,29,39,1.19,4.76,3.45,4.1,11,8,1,3,7,2,0,0,0,-2,0,0,0
"Shayne Gostisbehere","24-25","CAR","D",5,93.28,4,0,1,5,13,20,27,1.1,30.77,20,5.5,3,2,4,6,1,3,2,0,0,-1,0,0,0
"Shea Theodore","24-25","VGK","D",6,131.62,1,4,2,7,10,17,31,0.64,10,5.88,3.76,9,10,2,0,7,1,0,0,0,-1,0,0,0
"Simon Benoit","24-25","TOR","D",7,114.97,0,0,1,1,5,7,12,0.07,0,0,1,14,5,1,8,9,4,0,0,0,-4,0,0,0
"Simon Edvinsson","24-25","DET","D",6,124.28,1,0,1,2,6,13,18,1.1,16.67,7.69,8.46,14,7,3,5,9,1,0,0,0,-1,0,0,0
"Simon Nemec","24-25","N.J","D",9,145.08,0,0,1,1,9,14,23,0.34,0,0,2.43,10,5,4,1,7,2,0,0,0,-2,0,0,0
"Thomas Chabot","24-25","OTT","D",6,136.2,1,1,1,3,15,19,33,0.73,6.67,5.26,3.84,13,14,3,6,10,1,1,0,0,0,0,0,0
"Thomas Harley","24-25","DAL","D",7,163.88,1,0,2,3,17,21,30,0.63,5.88,4.76,3,6,12,4,5,10,0,1,0,0,1,0,0,0
"Timothy Liljegren","24-25","TOR","D",1,13.92,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,-1,0,0,0
"Tj Brodie","24-25","CHI","D",7,113.33,0,1,1,2,4,7,9,0.14,0,0,2,9,4,1,3,8,2,0,0,0,-2,0,0,0
"Travis Dermott","24-25","EDM","D",4,64.1,0,0,0,0,4,6,9,0.19,0,0,3.17,4,4,1,3,11,1,1,0,0,0,0,0,0
"Travis Hamonic","24-25","OTT","D",6,103.67,0,0,0,0,5,9,15,0.15,0,0,1.67,14,6,1,9,10,2,0,0,0,-2,0,0,0
"Travis Sanheim","24-25","PHI","D",6,136.53,1,0,0,1,16,21,27,1.43,6.25,4.76,6.81,9,3,5,2,12,3,2,0,0,-1,0,0,0
"Trevor Van Riemsdyk","24-25","WSH","D",5,99.05,0,2,0,2,10,14,19,0.42,0,0,3,13,4,2,0,2,0,0,0,0,0,0,0,0
"Tristan Luneau","24-25","ANA","D",5,83.23,0,0,0,0,6,9,14,0.19,0,0,2.11,7,5,1,4,3,1,0,0,0,-1,0,0,0
"Troy Stecher","24-25","EDM","D",5,81.42,0,0,0,0,3,4,8,0.05,0,0,1.25,7,3,1,4,8,1,0,1,1,-1,0,0,0
"Ty Emberson","24-25","EDM","D",5,76.17,0,0,0,0,8,13,16,0.25,0,0,1.92,5,4,2,4,19,1,1,0,0,0,0,0,0
"Tyler Kleven","24-25","OTT","D",6,90.07,0,0,0,0,7,8,17,0.4,0,0,5,9,3,4,10,10,2,2,0,0,0,0,0,0
"Tyler Myers","24-25","VAN","D",6,106.33,0,1,0,1,8,13,16,0.47,0,0,3.62,10,3,3,5,10,3,0,0,0,-3,0,0,0
"Tyson Barrie","24-25","CGY","D",2,32.68,0,0,0,0,2,3,4,0.07,0,0,2.33,0,4,0,0,5,0,0,0,0,0,0,0,0
"Urho Vaakanainen","24-25","ANA","D",1,13.78,0,0,0,0,0,2,4,0.03,0,0,1.5,1,1,0,0,0,1,0,0,0,-1,0,0,0
"Uvis Balinskis","24-25","FLA","D",8,91.85,0,0,1,1,6,7,11,0.3,0,0,4.29,3,1,3,7,15,1,0,1,1,-1,0,1,-1
"Victor Hedman","24-25","T.B","D",6,141.65,2,3,3,8,21,29,42,1.35,9.52,6.9,4.66,12,9,3,4,6,1,0,0,0,-1,0,0,0
"Victor Mancini","24-25","NYR","D",6,91.87,1,0,2,3,10,13,14,0.54,10,7.69,4.15,7,5,0,4,11,0,0,0,0,0,0,0,0
"Vince Dunn","24-25","SEA","D",4,75.28,1,0,2,3,10,12,14,0.53,10,8.33,4.42,10,6,0,4,5,1,2,0,0,1,0,0,0
"Vincent Desharnais","24-25","VAN","D",4,61.1,0,0,0,0,3,7,8,0.08,0,0,1.14,6,0,1,8,9,2,2,0,0,0,0,0,0
"Vladislav Gavrikov","24-25","L.A","D",7,167.57,0,2,1,3,13,20,31,0.72,0,0,3.6,17,4,5,2,10,0,1,0,0,1,0,0,0
"Vladislav Kolyachonok","24-25","UTA","D",7,96.53,1,1,0,2,3,8,14,0.28,33.33,12.5,3.5,5,5,0,4,9,1,0,0,0,-1,0,0,0
"William Borgen","24-25","SEA","D",7,102.58,0,0,1,1,8,10,19,0.15,0,0,1.5,6,3,2,10,17,0,2,0,0,2,0,0,0
"Wyatt Kaiser","24-25","CHI","D",6,103.55,0,0,1,1,3,7,12,0.14,0,0,2,18,5,3,6,13,0,2,0,0,2,0,0,0
"Zac Jones","24-25","NYR","D",4,63.02,0,0,1,1,3,5,6,0.12,0,0,2.4,1,6,1,2,8,0,1,0,0,1,0,0,0
"Zach Bogosian","24-25","MIN","D",6,103.33,0,0,0,0,9,10,17,0.15,0,0,1.5,8,9,1,8,9,2,0,0,0,-2,0,0,0
"Zach Werenski","24-25","CBJ","D",6,151.23,2,3,1,6,23,35,49,1.35,8.7,5.71,3.86,5,8,7,1,10,0,0,0,0,0,0,0,0
"Zach Whitecloud","24-25","VGK","D",7,128.48,1,0,0,1,7,11,15,0.13,14.29,9.09,1.18,18,8,0,8,18,2,0,0,0,-2,0,0,0
